date,gate_error_one_qubit,gate_error_two_qubit,n_qubits,t_gates,phase_gates,h_gates,cnot_gates,kullback_error,jensen-error
2024-02-27 19:38:28,0.0003526383326727,1.0,15.0,4.0,7.0,10.0,62.0,0.005662960480135947,0.6064856334558597
2024-02-27 19:39:59,0.0003526383326727,1.0,10.0,2.0,2.0,1.0,15.0,0.04114685279998458,0.05324132166764632
2024-02-27 21:40:20,0.0003526383326727,1.0,15.0,11.0,8.0,5.0,70.0,0.002197224577336219,0.6321199719680999
2024-02-27 23:40:40,0.0003526383326727,1.0,15.0,6.0,11.0,9.0,61.0,0.0019095425048844383,0.6386366263342089
2024-02-28 01:41:00,0.0003526383326727,1.0,15.0,15.0,7.0,6.0,61.0,0.00936426245424844,0.624883312823431
2024-02-28 03:41:21,0.0003526383326727,1.0,15.0,3.0,6.0,5.0,68.0,0.043276962862762176,0.5958912522314836
2024-02-28 05:41:40,0.0003526383326727,1.0,5.0,2.0,0.0,4.0,13.0,0.030655417738439758,0.007192135093963353
2024-02-28 07:42:00,0.0003526383326727,1.0,15.0,2.0,8.0,2.0,38.0,0.09333887602412655,0.3085849277543453
2024-02-28 09:42:19,0.0003526383326727,1.0,10.0,5.0,3.0,7.0,51.0,0.156882541823614,0.2576773854374449
2024-02-28 11:42:43,0.0003526383326727,1.0,5.0,4.0,4.0,1.0,21.0,0.03638475563386867,0.008893697598719948
2024-02-28 13:43:03,0.0003954658698492,1.0,10.0,1.0,10.0,3.0,21.0,0.12834729365737338,0.11400775471791899
2024-02-28 15:43:25,0.0003954658698492,1.0,5.0,0.0,7.0,2.0,24.0,0.023920561507204924,0.005806176336903815
2024-02-28 17:43:47,0.0003954658698492,1.0,5.0,0.0,1.0,0.0,8.0,0.006476916466341659,0.007793866598438859
2024-02-28 19:44:09,0.0003954658698492,1.0,5.0,0.0,3.0,3.0,23.0,0.02896505534394239,0.007794844442877008
2024-02-28 21:44:31,0.0003954658698492,1.0,5.0,1.0,1.0,3.0,5.0,0.0132293997164741,0.005621432531872584
2024-02-28 23:44:51,0.0003954658698492,1.0,5.0,2.0,5.0,2.0,22.0,0.034449984623653264,0.00829154379119185
2024-02-29 01:45:11,0.0003954658698492,1.0,5.0,2.0,0.0,2.0,6.0,0.023751843016157667,0.006992203589226149
2024-02-29 03:45:34,0.0003954658698492,1.0,10.0,4.0,2.0,1.0,36.0,0.09789564014994331,0.14569235465805802
2024-02-29 05:45:56,0.0003954658698492,1.0,10.0,4.0,6.0,9.0,46.0,0.21108598688935443,0.23243950588317847
2024-02-29 07:46:18,0.0003954658698492,1.0,5.0,2.0,5.0,3.0,13.0,0.030784158871766745,0.00698088954706
